time,I,pol,r,ar,cc,kind,net_type
0,5.0,0.1,0.1,833,0.079,mean,static
0,0.0,0.1,0.1,18,0.002,std,static
1,19.88,0.1,0.1,833,0.079,mean,static
1,4.44,0.1,0.1,18,0.002,std,static
2,121.91,0.1,0.1,833,0.079,mean,static
2,26.67,0.1,0.1,18,0.002,std,static
3,442.09,0.1,0.1,833,0.079,mean,static
3,61.59,0.1,0.1,18,0.002,std,static
4,703.12,0.1,0.1,833,0.079,mean,static
4,32.24,0.1,0.1,18,0.002,std,static
5,688.03,0.1,0.1,833,0.079,mean,static
5,14.07,0.1,0.1,18,0.002,std,static
6,615.81,0.1,0.1,833,0.079,mean,static
6,15.2,0.1,0.1,18,0.002,std,static
7,550.25,0.1,0.1,833,0.079,mean,static
7,16.0,0.1,0.1,18,0.002,std,static
8,492.91,0.1,0.1,833,0.079,mean,static
8,14.57,0.1,0.1,18,0.002,std,static
9,440.47,0.1,0.1,833,0.079,mean,static
9,14.61,0.1,0.1,18,0.002,std,static
10,389.19,0.1,0.1,833,0.079,mean,static
10,15.03,0.1,0.1,18,0.002,std,static
11,348.66,0.1,0.1,833,0.079,mean,static
11,15.42,0.1,0.1,18,0.002,std,static
12,316.09,0.1,0.1,833,0.079,mean,static
12,14.02,0.1,0.1,18,0.002,std,static
13,285.25,0.1,0.1,833,0.079,mean,static
13,14.23,0.1,0.1,18,0.002,std,static
14,255.66,0.1,0.1,833,0.079,mean,static
14,14.11,0.1,0.1,18,0.002,std,static
15,231.56,0.1,0.1,833,0.079,mean,static
15,13.58,0.1,0.1,18,0.002,std,static
16,209.25,0.1,0.1,833,0.079,mean,static
16,13.18,0.1,0.1,18,0.002,std,static
17,189.19,0.1,0.1,833,0.079,mean,static
17,12.06,0.1,0.1,18,0.002,std,static
18,170.66,0.1,0.1,833,0.079,mean,static
18,11.76,0.1,0.1,18,0.002,std,static
19,153.44,0.1,0.1,833,0.079,mean,static
19,11.18,0.1,0.1,18,0.002,std,static
20,137.31,0.1,0.1,833,0.079,mean,static
20,10.48,0.1,0.1,18,0.002,std,static
21,123.38,0.1,0.1,833,0.079,mean,static
21,10.4,0.1,0.1,18,0.002,std,static
22,110.56,0.1,0.1,833,0.079,mean,static
22,10.13,0.1,0.1,18,0.002,std,static
23,99.69,0.1,0.1,833,0.079,mean,static
23,10.21,0.1,0.1,18,0.002,std,static
24,89.06,0.1,0.1,833,0.079,mean,static
24,9.09,0.1,0.1,18,0.002,std,static
25,81.0,0.1,0.1,833,0.079,mean,static
25,7.87,0.1,0.1,18,0.002,std,static
26,73.56,0.1,0.1,833,0.079,mean,static
26,7.25,0.1,0.1,18,0.002,std,static
27,66.03,0.1,0.1,833,0.079,mean,static
27,7.35,0.1,0.1,18,0.002,std,static
28,59.59,0.1,0.1,833,0.079,mean,static
28,7.09,0.1,0.1,18,0.002,std,static
