time,I,pol,r,ar,cc,V_tot,kind,net_type
0,5.0,0.1,0.1,824,0.041,175,mean,static
0,0.0,0.1,0.1,16,0.003,16.532047476038773,std,static
1,17.66,0.1,0.1,824,0.041,175,mean,static
1,2.96,0.1,0.1,16,0.003,16.532047476038773,std,static
2,103.78,0.1,0.1,824,0.041,175,mean,static
2,26.72,0.1,0.1,16,0.003,16.532047476038773,std,static
3,380.28,0.1,0.1,824,0.041,175,mean,static
3,65.63,0.1,0.1,16,0.003,16.532047476038773,std,static
4,635.59,0.1,0.1,824,0.041,175,mean,static
4,43.09,0.1,0.1,16,0.003,16.532047476038773,std,static
5,640.72,0.1,0.1,824,0.041,175,mean,static
5,15.3,0.1,0.1,16,0.003,16.532047476038773,std,static
6,563.38,0.1,0.1,824,0.041,175,mean,static
6,14.04,0.1,0.1,16,0.003,16.532047476038773,std,static
7,482.12,0.1,0.1,824,0.041,175,mean,static
7,13.13,0.1,0.1,16,0.003,16.532047476038773,std,static
8,407.41,0.1,0.1,824,0.041,175,mean,static
8,13.67,0.1,0.1,16,0.003,16.532047476038773,std,static
9,347.94,0.1,0.1,824,0.041,175,mean,static
9,14.05,0.1,0.1,16,0.003,16.532047476038773,std,static
10,298.03,0.1,0.1,824,0.041,175,mean,static
10,11.91,0.1,0.1,16,0.003,16.532047476038773,std,static
11,252.97,0.1,0.1,824,0.041,175,mean,static
11,10.99,0.1,0.1,16,0.003,16.532047476038773,std,static
12,212.0,0.1,0.1,824,0.041,175,mean,static
12,9.0,0.1,0.1,16,0.003,16.532047476038773,std,static
13,181.25,0.1,0.1,824,0.041,175,mean,static
13,8.77,0.1,0.1,16,0.003,16.532047476038773,std,static
14,154.59,0.1,0.1,824,0.041,175,mean,static
14,10.87,0.1,0.1,16,0.003,16.532047476038773,std,static
15,132.44,0.1,0.1,824,0.041,175,mean,static
15,10.94,0.1,0.1,16,0.003,16.532047476038773,std,static
16,114.03,0.1,0.1,824,0.041,175,mean,static
16,10.04,0.1,0.1,16,0.003,16.532047476038773,std,static
17,97.44,0.1,0.1,824,0.041,175,mean,static
17,8.95,0.1,0.1,16,0.003,16.532047476038773,std,static
18,84.97,0.1,0.1,824,0.041,175,mean,static
18,8.24,0.1,0.1,16,0.003,16.532047476038773,std,static
19,72.25,0.1,0.1,824,0.041,175,mean,static
19,8.6,0.1,0.1,16,0.003,16.532047476038773,std,static
20,61.81,0.1,0.1,824,0.041,175,mean,static
20,7.78,0.1,0.1,16,0.003,16.532047476038773,std,static
21,53.25,0.1,0.1,824,0.041,175,mean,static
21,6.63,0.1,0.1,16,0.003,16.532047476038773,std,static
22,47.06,0.1,0.1,824,0.041,175,mean,static
22,6.1,0.1,0.1,16,0.003,16.532047476038773,std,static
23,40.81,0.1,0.1,824,0.041,175,mean,static
23,6.26,0.1,0.1,16,0.003,16.532047476038773,std,static
24,34.94,0.1,0.1,824,0.041,175,mean,static
24,6.1,0.1,0.1,16,0.003,16.532047476038773,std,static
25,29.78,0.1,0.1,824,0.041,175,mean,static
25,5.59,0.1,0.1,16,0.003,16.532047476038773,std,static
26,26.34,0.1,0.1,824,0.041,175,mean,static
26,5.42,0.1,0.1,16,0.003,16.532047476038773,std,static
27,22.53,0.1,0.1,824,0.041,175,mean,static
27,5.09,0.1,0.1,16,0.003,16.532047476038773,std,static
28,19.28,0.1,0.1,824,0.041,175,mean,static
28,4.76,0.1,0.1,16,0.003,16.532047476038773,std,static
29,16.66,0.1,0.1,824,0.041,175,mean,static
29,4.57,0.1,0.1,16,0.003,16.532047476038773,std,static
30,14.47,0.1,0.1,824,0.041,175,mean,static
30,4.46,0.1,0.1,16,0.003,16.532047476038773,std,static
31,12.44,0.1,0.1,824,0.041,175,mean,static
31,4.53,0.1,0.1,16,0.003,16.532047476038773,std,static
32,10.88,0.1,0.1,824,0.041,175,mean,static
32,4.22,0.1,0.1,16,0.003,16.532047476038773,std,static
33,9.28,0.1,0.1,824,0.041,175,mean,static
33,3.59,0.1,0.1,16,0.003,16.532047476038773,std,static
34,7.75,0.1,0.1,824,0.041,175,mean,static
34,3.38,0.1,0.1,16,0.003,16.532047476038773,std,static
35,6.59,0.1,0.1,824,0.041,175,mean,static
