time,I,pol,r,ar,cc,V_tot,kind,net_type
time,I,pol,r,ar,cc,V_tot,kind,net_type
0,5.0,0.1,0.1,211,0.039,776,mean,static
0,0.0,0.1,0.1,71,0.003,69.44579017793303,std,static
1,6.47,0.1,0.1,211,0.039,776,mean,static
1,1.39,0.1,0.1,71,0.003,69.44579017793303,std,static
2,10.44,0.1,0.1,211,0.039,776,mean,static
2,4.23,0.1,0.1,71,0.003,69.44579017793303,std,static
3,16.62,0.1,0.1,211,0.039,776,mean,static
3,8.85,0.1,0.1,71,0.003,69.44579017793303,std,static
4,22.72,0.1,0.1,211,0.039,776,mean,static
4,13.88,0.1,0.1,71,0.003,69.44579017793303,std,static
5,31.06,0.1,0.1,211,0.039,776,mean,static
5,18.89,0.1,0.1,71,0.003,69.44579017793303,std,static
6,41.72,0.1,0.1,211,0.039,776,mean,static
6,25.28,0.1,0.1,71,0.003,69.44579017793303,std,static
7,53.78,0.1,0.1,211,0.039,776,mean,static
7,30.89,0.1,0.1,71,0.003,69.44579017793303,std,static
8,63.59,0.1,0.1,211,0.039,776,mean,static
8,33.31,0.1,0.1,71,0.003,69.44579017793303,std,static
9,71.47,0.1,0.1,211,0.039,776,mean,static
9,37.42,0.1,0.1,71,0.003,69.44579017793303,std,static
10,78.72,0.1,0.1,211,0.039,776,mean,static
10,38.87,0.1,0.1,71,0.003,69.44579017793303,std,static
11,82.59,0.1,0.1,211,0.039,776,mean,static
11,38.47,0.1,0.1,71,0.003,69.44579017793303,std,static
12,84.16,0.1,0.1,211,0.039,776,mean,static
12,36.54,0.1,0.1,71,0.003,69.44579017793303,std,static
13,83.66,0.1,0.1,211,0.039,776,mean,static
13,33.06,0.1,0.1,71,0.003,69.44579017793303,std,static
14,81.59,0.1,0.1,211,0.039,776,mean,static
14,29.05,0.1,0.1,71,0.003,69.44579017793303,std,static
15,77.16,0.1,0.1,211,0.039,776,mean,static
15,25.76,0.1,0.1,71,0.003,69.44579017793303,std,static
16,72.06,0.1,0.1,211,0.039,776,mean,static
16,22.22,0.1,0.1,71,0.003,69.44579017793303,std,static
17,65.28,0.1,0.1,211,0.039,776,mean,static
17,19.36,0.1,0.1,71,0.003,69.44579017793303,std,static
18,59.34,0.1,0.1,211,0.039,776,mean,static
18,18.02,0.1,0.1,71,0.003,69.44579017793303,std,static
19,54.56,0.1,0.1,211,0.039,776,mean,static
19,16.63,0.1,0.1,71,0.003,69.44579017793303,std,static
20,49.62,0.1,0.1,211,0.039,776,mean,static
20,14.34,0.1,0.1,71,0.003,69.44579017793303,std,static
21,44.12,0.1,0.1,211,0.039,776,mean,static
21,12.68,0.1,0.1,71,0.003,69.44579017793303,std,static
22,39.0,0.1,0.1,211,0.039,776,mean,static
22,11.58,0.1,0.1,71,0.003,69.44579017793303,std,static
23,34.91,0.1,0.1,211,0.039,776,mean,static
23,9.83,0.1,0.1,71,0.003,69.44579017793303,std,static
24,30.38,0.1,0.1,211,0.039,776,mean,static
24,9.04,0.1,0.1,71,0.003,69.44579017793303,std,static
25,26.69,0.1,0.1,211,0.039,776,mean,static
25,7.99,0.1,0.1,71,0.003,69.44579017793303,std,static
26,23.56,0.1,0.1,211,0.039,776,mean,static
26,7.66,0.1,0.1,71,0.003,69.44579017793303,std,static
27,20.62,0.1,0.1,211,0.039,776,mean,static
27,6.72,0.1,0.1,71,0.003,69.44579017793303,std,static
28,17.94,0.1,0.1,211,0.039,776,mean,static
28,5.98,0.1,0.1,71,0.003,69.44579017793303,std,static
29,16.03,0.1,0.1,211,0.039,776,mean,static
29,5.7,0.1,0.1,71,0.003,69.44579017793303,std,static
30,14.09,0.1,0.1,211,0.039,776,mean,static
30,5.44,0.1,0.1,71,0.003,69.44579017793303,std,static
31,12.5,0.1,0.1,211,0.039,776,mean,static
31,5.2,0.1,0.1,71,0.003,69.44579017793303,std,static
32,10.44,0.1,0.1,211,0.039,776,mean,static
32,4.78,0.1,0.1,71,0.003,69.44579017793303,std,static
33,9.12,0.1,0.1,211,0.039,776,mean,static
33,4.81,0.1,0.1,71,0.003,69.44579017793303,std,static
34,7.75,0.1,0.1,211,0.039,776,mean,static
34,4.56,0.1,0.1,71,0.003,69.44579017793303,std,static
35,6.84,0.1,0.1,211,0.039,776,mean,static
35,4.2,0.1,0.1,71,0.003,69.44579017793303,std,static
36,5.88,0.1,0.1,211,0.039,776,mean,static
36,3.67,0.1,0.1,71,0.003,69.44579017793303,std,static
37,5.19,0.1,0.1,211,0.039,776,mean,static
37,3.23,0.1,0.1,71,0.003,69.44579017793303,std,static
38,4.62,0.1,0.1,211,0.039,776,mean,static
38,2.67,0.1,0.1,71,0.003,69.44579017793303,std,static
39,4.12,0.1,0.1,211,0.039,776,mean,static
39,2.38,0.1,0.1,71,0.003,69.44579017793303,std,static
40,3.84,0.1,0.1,211,0.039,776,mean,static
40,2.24,0.1,0.1,71,0.003,69.44579017793303,std,static
0,5.0,0.1,0.1,175,0.061,788,mean,dynamic
0,0.0,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
1,6.16,0.1,0.1,175,0.061,788,mean,dynamic
1,1.77,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
2,8.22,0.1,0.1,175,0.061,788,mean,dynamic
2,3.31,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
3,10.66,0.1,0.1,175,0.061,788,mean,dynamic
3,5.67,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
4,14.75,0.1,0.1,175,0.061,788,mean,dynamic
4,8.43,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
5,20.97,0.1,0.1,175,0.061,788,mean,dynamic
5,14.4,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
6,29.0,0.1,0.1,175,0.061,788,mean,dynamic
6,21.05,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
7,37.12,0.1,0.1,175,0.061,788,mean,dynamic
7,27.96,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
8,45.5,0.1,0.1,175,0.061,788,mean,dynamic
8,33.74,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
9,52.12,0.1,0.1,175,0.061,788,mean,dynamic
9,36.57,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
10,57.5,0.1,0.1,175,0.061,788,mean,dynamic
10,37.1,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
11,61.12,0.1,0.1,175,0.061,788,mean,dynamic
11,37.56,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
12,63.72,0.1,0.1,175,0.061,788,mean,dynamic
12,38.11,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
13,66.38,0.1,0.1,175,0.061,788,mean,dynamic
13,37.79,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
14,64.25,0.1,0.1,175,0.061,788,mean,dynamic
14,35.28,0.1,0.1,79,0.01,75.75018048658366,std,dynamic
0,5.0,0.2,0.1,200,0.04,786,mean,static
0,0.0,0.2,0.1,74,0.003,71.50660344288141,std,static
1,5.97,0.2,0.1,200,0.04,786,mean,static
1,1.29,0.2,0.1,74,0.003,71.50660344288141,std,static
2,8.34,0.2,0.1,200,0.04,786,mean,static
2,3.42,0.2,0.1,74,0.003,71.50660344288141,std,static
3,13.19,0.2,0.1,200,0.04,786,mean,static
3,6.56,0.2,0.1,74,0.003,71.50660344288141,std,static
4,19.38,0.2,0.1,200,0.04,786,mean,static
4,10.46,0.2,0.1,74,0.003,71.50660344288141,std,static
5,26.25,0.2,0.1,200,0.04,786,mean,static
5,16.16,0.2,0.1,74,0.003,71.50660344288141,std,static
6,35.66,0.2,0.1,200,0.04,786,mean,static
6,22.48,0.2,0.1,74,0.003,71.50660344288141,std,static
7,45.62,0.2,0.1,200,0.04,786,mean,static
7,29.15,0.2,0.1,74,0.003,71.50660344288141,std,static
8,57.34,0.2,0.1,200,0.04,786,mean,static
8,33.53,0.2,0.1,74,0.003,71.50660344288141,std,static
9,66.56,0.2,0.1,200,0.04,786,mean,static
9,37.2,0.2,0.1,74,0.003,71.50660344288141,std,static
10,72.53,0.2,0.1,200,0.04,786,mean,static
10,38.73,0.2,0.1,74,0.003,71.50660344288141,std,static
11,77.28,0.2,0.1,200,0.04,786,mean,static
11,38.49,0.2,0.1,74,0.003,71.50660344288141,std,static
12,79.34,0.2,0.1,200,0.04,786,mean,static
12,36.02,0.2,0.1,74,0.003,71.50660344288141,std,static
13,79.41,0.2,0.1,200,0.04,786,mean,static
13,33.63,0.2,0.1,74,0.003,71.50660344288141,std,static
14,76.16,0.2,0.1,200,0.04,786,mean,static
14,29.81,0.2,0.1,74,0.003,71.50660344288141,std,static
15,72.44,0.2,0.1,200,0.04,786,mean,static
15,26.19,0.2,0.1,74,0.003,71.50660344288141,std,static
16,68.81,0.2,0.1,200,0.04,786,mean,static
16,23.74,0.2,0.1,74,0.003,71.50660344288141,std,static
17,63.44,0.2,0.1,200,0.04,786,mean,static
17,21.0,0.2,0.1,74,0.003,71.50660344288141,std,static
18,58.59,0.2,0.1,200,0.04,786,mean,static
18,19.0,0.2,0.1,74,0.003,71.50660344288141,std,static
19,53.53,0.2,0.1,200,0.04,786,mean,static
19,17.17,0.2,0.1,74,0.003,71.50660344288141,std,static
20,48.44,0.2,0.1,200,0.04,786,mean,static
20,14.76,0.2,0.1,74,0.003,71.50660344288141,std,static
21,42.5,0.2,0.1,200,0.04,786,mean,static
21,12.45,0.2,0.1,74,0.003,71.50660344288141,std,static
22,38.19,0.2,0.1,200,0.04,786,mean,static
22,10.61,0.2,0.1,74,0.003,71.50660344288141,std,static
23,33.97,0.2,0.1,200,0.04,786,mean,static
23,9.17,0.2,0.1,74,0.003,71.50660344288141,std,static
24,29.69,0.2,0.1,200,0.04,786,mean,static
