time,I,pol,r,ar,cc,V_tot,kind,net_type
14,21.53,0.3,0.1,65,0.04,880,mean,static
14,13.14,0.3,0.1,34,0.003,40.535478287544606,std,static
15,21.28,0.3,0.1,65,0.04,880,mean,static
15,13.06,0.3,0.1,34,0.003,40.535478287544606,std,static
16,20.53,0.3,0.1,65,0.04,880,mean,static
16,12.48,0.3,0.1,34,0.003,40.535478287544606,std,static
17,19.78,0.3,0.1,65,0.04,880,mean,static
17,11.87,0.3,0.1,34,0.003,40.535478287544606,std,static
0,5.0,0.3,0.1,68,0.127,816,mean,dynamic
0,0.0,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
1,5.44,0.3,0.1,68,0.127,816,mean,dynamic
1,1.09,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
2,6.47,0.3,0.1,68,0.127,816,mean,dynamic
2,1.77,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
3,7.53,0.3,0.1,68,0.127,816,mean,dynamic
3,2.76,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
4,8.47,0.3,0.1,68,0.127,816,mean,dynamic
4,3.89,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
5,10.84,0.3,0.1,68,0.127,816,mean,dynamic
5,6.94,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
6,13.38,0.3,0.1,68,0.127,816,mean,dynamic
6,9.3,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
7,15.5,0.3,0.1,68,0.127,816,mean,dynamic
7,11.29,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
8,17.5,0.3,0.1,68,0.127,816,mean,dynamic
8,13.11,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
9,19.31,0.3,0.1,68,0.127,816,mean,dynamic
9,15.01,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
10,21.09,0.3,0.1,68,0.127,816,mean,dynamic
10,16.0,0.3,0.1,40,0.025,61.85151069294913,std,dynamic
0,5.0,0.4,0.1,63,0.04,836,mean,static
0,0.0,0.4,0.1,50,0.003,145.58072019931075,std,static
1,5.59,0.4,0.1,63,0.04,836,mean,static
1,1.14,0.4,0.1,50,0.003,145.58072019931075,std,static
2,6.44,0.4,0.1,63,0.04,836,mean,static
2,2.33,0.4,0.1,50,0.003,145.58072019931075,std,static
3,7.19,0.4,0.1,63,0.04,836,mean,static
3,3.88,0.4,0.1,50,0.003,145.58072019931075,std,static
0,5.0,0.4,0.1,75,0.119,780,mean,dynamic
0,0.0,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
1,5.59,0.4,0.1,75,0.119,780,mean,dynamic
1,1.34,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
2,5.94,0.4,0.1,75,0.119,780,mean,dynamic
2,2.11,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
3,6.72,0.4,0.1,75,0.119,780,mean,dynamic
3,2.89,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
4,7.84,0.4,0.1,75,0.119,780,mean,dynamic
4,3.87,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
5,9.28,0.4,0.1,75,0.119,780,mean,dynamic
5,5.57,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
6,11.12,0.4,0.1,75,0.119,780,mean,dynamic
6,7.64,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
7,12.97,0.4,0.1,75,0.119,780,mean,dynamic
7,9.45,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
8,15.09,0.4,0.1,75,0.119,780,mean,dynamic
8,11.53,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
9,17.16,0.4,0.1,75,0.119,780,mean,dynamic
9,13.46,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
10,18.12,0.4,0.1,75,0.119,780,mean,dynamic
10,14.48,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
11,19.03,0.4,0.1,75,0.119,780,mean,dynamic
11,14.83,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
12,20.78,0.4,0.1,75,0.119,780,mean,dynamic
12,16.81,0.4,0.1,48,0.024,74.92818827675937,std,dynamic
0,5.0,0.5,0.1,68,0.041,870,mean,static
0,0.0,0.5,0.1,43,0.003,63.6577457482591,std,static
1,5.84,0.5,0.1,68,0.041,870,mean,static
1,1.15,0.5,0.1,43,0.003,63.6577457482591,std,static
2,6.72,0.5,0.1,68,0.041,870,mean,static
2,2.21,0.5,0.1,43,0.003,63.6577457482591,std,static
3,7.53,0.5,0.1,68,0.041,870,mean,static
3,2.7,0.5,0.1,43,0.003,63.6577457482591,std,static
4,9.38,0.5,0.1,68,0.041,870,mean,static
4,4.73,0.5,0.1,43,0.003,63.6577457482591,std,static
5,11.81,0.5,0.1,68,0.041,870,mean,static
5,7.04,0.5,0.1,43,0.003,63.6577457482591,std,static
6,14.41,0.5,0.1,68,0.041,870,mean,static
6,9.42,0.5,0.1,43,0.003,63.6577457482591,std,static
7,16.62,0.5,0.1,68,0.041,870,mean,static
7,11.18,0.5,0.1,43,0.003,63.6577457482591,std,static
8,19.0,0.5,0.1,68,0.041,870,mean,static
8,13.72,0.5,0.1,43,0.003,63.6577457482591,std,static
9,20.28,0.5,0.1,68,0.041,870,mean,static
9,14.86,0.5,0.1,43,0.003,63.6577457482591,std,static
10,21.09,0.5,0.1,68,0.041,870,mean,static
10,15.91,0.5,0.1,43,0.003,63.6577457482591,std,static
11,22.62,0.5,0.1,68,0.041,870,mean,static
11,17.11,0.5,0.1,43,0.003,63.6577457482591,std,static
12,23.62,0.5,0.1,68,0.041,870,mean,static
12,18.08,0.5,0.1,43,0.003,63.6577457482591,std,static
0,5.0,0.5,0.1,76,0.076,708,mean,dynamic
0,0.0,0.5,0.1,49,0.01,102.50318211523972,std,dynamic
1,5.44,0.5,0.1,76,0.076,708,mean,dynamic
1,1.17,0.5,0.1,49,0.01,102.50318211523972,std,dynamic
2,5.81,0.5,0.1,76,0.076,708,mean,dynamic
2,1.89,0.5,0.1,49,0.01,102.50318211523972,std,dynamic
3,6.81,0.5,0.1,76,0.076,708,mean,dynamic
3,3.52,0.5,0.1,49,0.01,102.50318211523972,std,dynamic
4,7.62,0.5,0.1,76,0.076,708,mean,dynamic
4,5.09,0.5,0.1,49,0.01,102.50318211523972,std,dynamic
5,9.53,0.5,0.1,76,0.076,708,mean,dynamic
5,7.15,0.5,0.1,49,0.01,102.50318211523972,std,dynamic
0,5.0,0.6,0.1,58,0.041,868,mean,static
0,0.0,0.6,0.1,38,0.003,86.1163593270756,std,static
1,5.59,0.6,0.1,58,0.041,868,mean,static
1,1.32,0.6,0.1,38,0.003,86.1163593270756,std,static
2,6.03,0.6,0.1,58,0.041,868,mean,static
2,2.11,0.6,0.1,38,0.003,86.1163593270756,std,static
3,6.78,0.6,0.1,58,0.041,868,mean,static
3,3.22,0.6,0.1,38,0.003,86.1163593270756,std,static
4,7.84,0.6,0.1,58,0.041,868,mean,static
4,4.01,0.6,0.1,38,0.003,86.1163593270756,std,static
5,9.81,0.6,0.1,58,0.041,868,mean,static
5,5.7,0.6,0.1,38,0.003,86.1163593270756,std,static
6,12.12,0.6,0.1,58,0.041,868,mean,static
6,7.47,0.6,0.1,38,0.003,86.1163593270756,std,static
7,14.84,0.6,0.1,58,0.041,868,mean,static
7,10.71,0.6,0.1,38,0.003,86.1163593270756,std,static
