time,I,pol,r,ar,cc,V_tot,kind,net_type
0,5.0,0.1,0.1,648,0.04,351,mean,static
0,0.0,0.1,0.1,19,0.003,19.57517560585345,std,static
1,10.5,0.1,0.1,648,0.04,351,mean,static
1,1.12,0.1,0.1,19,0.003,19.57517560585345,std,static
2,29.5,0.1,0.1,648,0.04,351,mean,static
2,5.32,0.1,0.1,19,0.003,19.57517560585345,std,static
3,88.0,0.1,0.1,648,0.04,351,mean,static
3,18.77,0.1,0.1,19,0.003,19.57517560585345,std,static
4,177.0,0.1,0.1,648,0.04,351,mean,static
4,35.14,0.1,0.1,19,0.003,19.57517560585345,std,static
5,293.25,0.1,0.1,648,0.04,351,mean,static
5,44.83,0.1,0.1,19,0.003,19.57517560585345,std,static
6,396.25,0.1,0.1,648,0.04,351,mean,static
6,40.27,0.1,0.1,19,0.003,19.57517560585345,std,static
7,442.25,0.1,0.1,648,0.04,351,mean,static
7,22.73,0.1,0.1,19,0.003,19.57517560585345,std,static
8,435.75,0.1,0.1,648,0.04,351,mean,static
8,7.66,0.1,0.1,19,0.003,19.57517560585345,std,static
9,416.0,0.1,0.1,648,0.04,351,mean,static
9,3.67,0.1,0.1,19,0.003,19.57517560585345,std,static
10,382.75,0.1,0.1,648,0.04,351,mean,static
10,6.83,0.1,0.1,19,0.003,19.57517560585345,std,static
11,350.25,0.1,0.1,648,0.04,351,mean,static
11,6.98,0.1,0.1,19,0.003,19.57517560585345,std,static
12,315.75,0.1,0.1,648,0.04,351,mean,static
12,5.12,0.1,0.1,19,0.003,19.57517560585345,std,static
13,288.75,0.1,0.1,648,0.04,351,mean,static
13,6.83,0.1,0.1,19,0.003,19.57517560585345,std,static
14,262.75,0.1,0.1,648,0.04,351,mean,static
14,7.08,0.1,0.1,19,0.003,19.57517560585345,std,static
15,238.5,0.1,0.1,648,0.04,351,mean,static
15,7.16,0.1,0.1,19,0.003,19.57517560585345,std,static
16,210.25,0.1,0.1,648,0.04,351,mean,static
16,10.62,0.1,0.1,19,0.003,19.57517560585345,std,static
17,191.25,0.1,0.1,648,0.04,351,mean,static
17,7.08,0.1,0.1,19,0.003,19.57517560585345,std,static
18,171.0,0.1,0.1,648,0.04,351,mean,static
18,5.34,0.1,0.1,19,0.003,19.57517560585345,std,static
19,152.75,0.1,0.1,648,0.04,351,mean,static
19,3.63,0.1,0.1,19,0.003,19.57517560585345,std,static
20,135.0,0.1,0.1,648,0.04,351,mean,static
20,6.04,0.1,0.1,19,0.003,19.57517560585345,std,static
21,119.75,0.1,0.1,648,0.04,351,mean,static
21,6.5,0.1,0.1,19,0.003,19.57517560585345,std,static
22,110.0,0.1,0.1,648,0.04,351,mean,static
22,6.08,0.1,0.1,19,0.003,19.57517560585345,std,static
23,100.75,0.1,0.1,648,0.04,351,mean,static
23,7.36,0.1,0.1,19,0.003,19.57517560585345,std,static
24,91.5,0.1,0.1,648,0.04,351,mean,static
24,7.66,0.1,0.1,19,0.003,19.57517560585345,std,static
25,79.25,0.1,0.1,648,0.04,351,mean,static
25,6.42,0.1,0.1,19,0.003,19.57517560585345,std,static
26,71.25,0.1,0.1,648,0.04,351,mean,static
26,4.49,0.1,0.1,19,0.003,19.57517560585345,std,static
27,64.0,0.1,0.1,648,0.04,351,mean,static
27,6.78,0.1,0.1,19,0.003,19.57517560585345,std,static
28,56.0,0.1,0.1,648,0.04,351,mean,static
28,5.39,0.1,0.1,19,0.003,19.57517560585345,std,static
29,50.75,0.1,0.1,648,0.04,351,mean,static
29,4.09,0.1,0.1,19,0.003,19.57517560585345,std,static
30,44.75,0.1,0.1,648,0.04,351,mean,static
30,2.86,0.1,0.1,19,0.003,19.57517560585345,std,static
31,39.75,0.1,0.1,648,0.04,351,mean,static
31,2.59,0.1,0.1,19,0.003,19.57517560585345,std,static
32,37.0,0.1,0.1,648,0.04,351,mean,static
32,3.67,0.1,0.1,19,0.003,19.57517560585345,std,static
33,32.5,0.1,0.1,648,0.04,351,mean,static
33,4.39,0.1,0.1,19,0.003,19.57517560585345,std,static
34,29.75,0.1,0.1,648,0.04,351,mean,static
34,5.21,0.1,0.1,19,0.003,19.57517560585345,std,static
35,26.25,0.1,0.1,648,0.04,351,mean,static
35,4.76,0.1,0.1,19,0.003,19.57517560585345,std,static
36,23.75,0.1,0.1,648,0.04,351,mean,static
36,4.32,0.1,0.1,19,0.003,19.57517560585345,std,static
37,21.5,0.1,0.1,648,0.04,351,mean,static
37,4.77,0.1,0.1,19,0.003,19.57517560585345,std,static
38,18.25,0.1,0.1,648,0.04,351,mean,static
38,4.32,0.1,0.1,19,0.003,19.57517560585345,std,static
39,17.0,0.1,0.1,648,0.04,351,mean,static
39,5.52,0.1,0.1,19,0.003,19.57517560585345,std,static
40,16.25,0.1,0.1,648,0.04,351,mean,static
40,5.31,0.1,0.1,19,0.003,19.57517560585345,std,static
41,14.75,0.1,0.1,648,0.04,351,mean,static
41,4.82,0.1,0.1,19,0.003,19.57517560585345,std,static
42,13.25,0.1,0.1,648,0.04,351,mean,static
42,4.76,0.1,0.1,19,0.003,19.57517560585345,std,static
43,11.25,0.1,0.1,648,0.04,351,mean,static
43,4.26,0.1,0.1,19,0.003,19.57517560585345,std,static
44,9.5,0.1,0.1,648,0.04,351,mean,static
44,4.03,0.1,0.1,19,0.003,19.57517560585345,std,static
45,8.75,0.1,0.1,648,0.04,351,mean,static
45,3.83,0.1,0.1,19,0.003,19.57517560585345,std,static
46,7.5,0.1,0.1,648,0.04,351,mean,static
46,4.61,0.1,0.1,19,0.003,19.57517560585345,std,static
47,6.25,0.1,0.1,648,0.04,351,mean,static
47,3.83,0.1,0.1,19,0.003,19.57517560585345,std,static
48,4.5,0.1,0.1,648,0.04,351,mean,static
48,3.04,0.1,0.1,19,0.003,19.57517560585345,std,static
49,3.75,0.1,0.1,648,0.04,351,mean,static
49,2.77,0.1,0.1,19,0.003,19.57517560585345,std,static
50,3.25,0.1,0.1,648,0.04,351,mean,static
50,2.28,0.1,0.1,19,0.003,19.57517560585345,std,static
51,2.75,0.1,0.1,648,0.04,351,mean,static
51,1.79,0.1,0.1,19,0.003,19.57517560585345,std,static
52,2.75,0.1,0.1,648,0.04,351,mean,static
52,1.79,0.1,0.1,19,0.003,19.57517560585345,std,static
53,2.75,0.1,0.1,648,0.04,351,mean,static
53,1.79,0.1,0.1,19,0.003,19.57517560585345,std,static
54,2.5,0.1,0.1,648,0.04,351,mean,static
54,2.06,0.1,0.1,19,0.003,19.57517560585345,std,static
0,5.0,0.1,0.1,635,0.107,364,mean,dynamic
0,0.0,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
1,9.5,0.1,0.1,635,0.107,364,mean,dynamic
1,2.69,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
2,25.75,0.1,0.1,635,0.107,364,mean,dynamic
2,13.53,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
3,70.0,0.1,0.1,635,0.107,364,mean,dynamic
3,40.79,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
4,158.75,0.1,0.1,635,0.107,364,mean,dynamic
4,89.23,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
5,265.5,0.1,0.1,635,0.107,364,mean,dynamic
5,115.4,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
6,361.75,0.1,0.1,635,0.107,364,mean,dynamic
6,102.94,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
7,414.25,0.1,0.1,635,0.107,364,mean,dynamic
7,65.61,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
8,427.75,0.1,0.1,635,0.107,364,mean,dynamic
8,39.74,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
9,413.0,0.1,0.1,635,0.107,364,mean,dynamic
9,27.37,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
10,389.75,0.1,0.1,635,0.107,364,mean,dynamic
10,18.54,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
11,361.25,0.1,0.1,635,0.107,364,mean,dynamic
11,17.5,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
12,333.0,0.1,0.1,635,0.107,364,mean,dynamic
12,19.01,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
13,305.75,0.1,0.1,635,0.107,364,mean,dynamic
13,15.91,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
14,276.25,0.1,0.1,635,0.107,364,mean,dynamic
14,10.57,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
15,250.25,0.1,0.1,635,0.107,364,mean,dynamic
15,8.55,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
16,226.75,0.1,0.1,635,0.107,364,mean,dynamic
16,3.77,0.1,0.1,50,0.024,50.114868053303304,std,dynamic
