time,I,pol,r,ar,cc,kind,net_type
2,42.56,0.1,0.1,733,0.042,mean,dynamic
2,11.17,0.1,0.1,24,0.001,std,dynamic
3,135.34,0.1,0.1,733,0.042,mean,dynamic
3,37.63,0.1,0.1,24,0.001,std,dynamic
4,329.97,0.1,0.1,733,0.042,mean,dynamic
4,65.45,0.1,0.1,24,0.001,std,dynamic
5,496.72,0.1,0.1,733,0.042,mean,dynamic
5,56.69,0.1,0.1,24,0.001,std,dynamic
6,554.06,0.1,0.1,733,0.042,mean,dynamic
6,32.51,0.1,0.1,24,0.001,std,dynamic
7,543.5,0.1,0.1,733,0.042,mean,dynamic
7,22.05,0.1,0.1,24,0.001,std,dynamic
8,505.31,0.1,0.1,733,0.042,mean,dynamic
8,16.97,0.1,0.1,24,0.001,std,dynamic
9,461.84,0.1,0.1,733,0.042,mean,dynamic
9,15.05,0.1,0.1,24,0.001,std,dynamic
10,419.53,0.1,0.1,733,0.042,mean,dynamic
10,12.56,0.1,0.1,24,0.001,std,dynamic
11,380.56,0.1,0.1,733,0.042,mean,dynamic
11,13.31,0.1,0.1,24,0.001,std,dynamic
12,345.16,0.1,0.1,733,0.042,mean,dynamic
12,12.63,0.1,0.1,24,0.001,std,dynamic
13,310.38,0.1,0.1,733,0.042,mean,dynamic
13,12.17,0.1,0.1,24,0.001,std,dynamic
14,278.44,0.1,0.1,733,0.042,mean,dynamic
14,13.94,0.1,0.1,24,0.001,std,dynamic
15,251.22,0.1,0.1,733,0.042,mean,dynamic
15,13.47,0.1,0.1,24,0.001,std,dynamic
16,227.62,0.1,0.1,733,0.042,mean,dynamic
16,12.61,0.1,0.1,24,0.001,std,dynamic
17,205.19,0.1,0.1,733,0.042,mean,dynamic
17,11.44,0.1,0.1,24,0.001,std,dynamic
18,183.84,0.1,0.1,733,0.042,mean,dynamic
18,11.55,0.1,0.1,24,0.001,std,dynamic
19,164.59,0.1,0.1,733,0.042,mean,dynamic
19,10.62,0.1,0.1,24,0.001,std,dynamic
20,148.91,0.1,0.1,733,0.042,mean,dynamic
20,9.8,0.1,0.1,24,0.001,std,dynamic
21,135.0,0.1,0.1,733,0.042,mean,dynamic
21,9.39,0.1,0.1,24,0.001,std,dynamic
22,122.5,0.1,0.1,733,0.042,mean,dynamic
22,8.95,0.1,0.1,24,0.001,std,dynamic
23,109.72,0.1,0.1,733,0.042,mean,dynamic
23,8.18,0.1,0.1,24,0.001,std,dynamic
24,98.69,0.1,0.1,733,0.042,mean,dynamic
24,8.0,0.1,0.1,24,0.001,std,dynamic
25,88.66,0.1,0.1,733,0.042,mean,dynamic
25,6.4,0.1,0.1,24,0.001,std,dynamic
26,79.25,0.1,0.1,733,0.042,mean,dynamic
26,5.57,0.1,0.1,24,0.001,std,dynamic
27,70.94,0.1,0.1,733,0.042,mean,dynamic
27,5.25,0.1,0.1,24,0.001,std,dynamic
28,63.94,0.1,0.1,733,0.042,mean,dynamic
28,4.97,0.1,0.1,24,0.001,std,dynamic
29,57.28,0.1,0.1,733,0.042,mean,dynamic
29,5.12,0.1,0.1,24,0.001,std,dynamic
30,51.25,0.1,0.1,733,0.042,mean,dynamic
30,5.14,0.1,0.1,24,0.001,std,dynamic
